CDUORG;NOME;UF;MUNICIPIO;ENDERECO;BAIRRO;CEP
019910000;GERÊNCIA REGIONAL DO TRABALHO EM ITAGUAÍ;RJ;ITAGUAÍ;RUA SEBASTIÃO JOSÉ TEIXEIRA, 70;CENTRO;23812720
019903002;AGÊNCIA DE ATENDIMENTO DE ITALVA;RJ;ITALVA;RUA MARIA JACOB, S/N;;28430000
019911002;AGÊNCIA REGIONAL DO TRABALHO EM ITALVA;RJ;ITALVA;.;;99999999
019903003;AGÊNCIA DE ATENDIMENTO DE ITAPERUNA;RJ;ITAPERUNA;AV.CARDOSO MOREIRA 859;CENTRO;28300000
019911000;GERÊNCIA REGIONAL DO TRABALHO EM ITAPERUNA;RJ;ITAPERUNA;AV. CARDOSO MOREIRA, 859;CENTRO;28300000
112000103;AGÊNCIA REGIONAL DO TRABALHO EM ITAPERUNA;RJ;ITAPERUNA;AV. CARDOSO MOREIRA, 859;CENTRO;28300000
019907004;AGÊNCIA DE ATENDIMENTO DE MESQUITA;RJ;JAPERI;AV. XV DE NOVEMBRO, 149;;23480000
019902003;AGÊNCIA REGIONAL DO TRABALHO EM MACAÉ;RJ;MACAÉ;AV AGENOR CALDAS, 239;;27913300
019908004;AGÊNCIA DE ATENDIMENTO DE MACAE;RJ;MACAÉ;RUA DR. FRANCISCO PORTELA, 569;;27910200
019904003;AGÊNCIA REGIONAL DO TRABALHO EM MAGÉ;RJ;MAGÉ;.;;99999999
019907005;AGÊNCIA DE ATENDIMENTO DE MORRO AGUDO;RJ;MENDES;RUA CAPITAL FRANCISCO SOBRAL, 102;;26600000
112000041;AGÊNCIA REGIONAL DO TRABALHO EM MESQUITA;RJ;MESQUITA;AV. PRESIDENTE COSTA E SILVA, 1513;CENTRO;26553295
019908007;AGÊNCIA REGIONAL DO TRABALHO EM MIGUEL PEREIRA;RJ;MIGUEL PEREIRA;RUA DOUTOR PAULO DE FRONTIN, 77;,;26910000
019903005;AGÊNCIA DE ATENDIMENTO DE MIRACEMA;RJ;MIRACEMA;AV. RUI PARREIRAS, 171;;28460000
018903006;POSTO DE ATENDIMENTO DE NATIVIDADE;RJ;NATIVIDADE;PRAÇA FERREIRA RABELO, 4;;28380000
019903006;AGÊNCIA DE ATENDIMENTO DE NATIVIDADE;RJ;NATIVIDADE;PRAÇA FERREIRA RABELO, 4;;28380000
019907006;AGÊNCIA REGIONAL DO TRABALHO EM NILÓPOLIS;RJ;NILÓPOLIS;.;;99999999
019905000;GERÊNCIA REGIONAL DO TRABALHO EM NITERÓI;RJ;NITERÓI;RUA JOSÉ CLEMENTE, 37;CENTRO;24020104
019905003;AGÊNCIA DE ATENDIMENTO DE NITEROI;RJ;NITERÓI;RUA RAUL VEIGA, 57 1O ANDAR;;28907090
019906000;GERÊNCIA REGIONAL DO TRABALHO EM NOVA FRIBURGO;RJ;NOVA FRIBURGO;RUA FRANCISCO MIELE, 17;,;28625030
019906004;AGÊNCIA DE ATENDIMENTO DE NOVA FRIBURGO;RJ;NOVA FRIBURGO;PRAÇA PRINCESA ISABEL, 01;;28640000
019907000;GERÊNCIA REGIONAL DO TRABALHO EM NOVA IGUAÇÚ;RJ;NOVA IGUAÇU;R. DOM WALMOR, 383,LJ 5 A 7 - SL. 101/106 - C. EMPRESARIAL;;26215020
019907007;AGÊNCIA DE ATENDIMENTO DE NOVA IGUACU;RJ;NOVA IGUAÇU;AV. DOS OPERARIOS, 171;;26600000
019907008;AGÊNCIA REGIONAL DO TRABALHO EM PARACAMBI;RJ;PARACAMBI;.;;99999999
019910003;AGÊNCIA REGIONAL DO TRABALHO EM PARATY;RJ;PARATY;R. FLORESTA N° 1 - ANTIGO PRÉDIO DO COL. JAIR DA SILVA;;23970000
