codigo;nr;gradacao
108037-7;NR-08;I2
108038-5;NR-08;I2
108039-3;NR-08;I2
108040-7;NR-08;I2
109183-2;NR-09;I3
109184-0;NR-09;I3
109185-9;NR-09;I3
109186-7;NR-09;I2
109187-5;NR-09;I3
109188-3;NR-09;I2
109189-1;NR-09;I3
109190-5;NR-09;I3
109191-3;NR-09;I3
109192-1;NR-09;I2
109193-0;NR-09;I3
109194-8;NR-09;I3
109195-6;NR-09;I2
109196-4;NR-09;I2
109197-2;NR-09;I3
109198-0;NR-09;I2
109199-9;NR-09;I3
109200-6;NR-09;I3
109201-4;NR-09;I3
109202-2;NR-09;I3
109203-0;NR-09;I2
109204-9;NR-09;I3
109205-7;NR-09;I3
109206-5;NR-09;I2
109207-3;NR-09;I3
109208-1;NR-09;I3
109209-0;NR-09;I3
109210-3;NR-09;I3
109211-1;NR-09;I3
111035-7;NR-11;I4
111036-5;NR-11;I4
111037-3;NR-11;I3
111038-1;NR-11;I4
111039-0;NR-11;I4
111040-3;NR-11;I2
111041-1;NR-11;I4
111042-0;NR-11;I2
111046-2;NR-11;I2
111047-0;NR-11;I3
111050-0;NR-11;I2
111054-3;NR-11;I2
111055-1;NR-11;I3
111056-0;NR-11;I3
111057-8;NR-11;I2
111058-6;NR-11;I3
111084-5;NR-11;I4
111103-5;NR-11;I4
111104-3;NR-11;I4
111122-1;NR-11;I4
111123-0;NR-11;I4
111124-8;NR-11;I4
111125-6;NR-11;I4
111126-4;NR-11;I3
111127-2;NR-11;I4
111128-0;NR-11;I2
111129-9;NR-11;I3
111130-2;NR-11;I4
111131-0;NR-11;I4
111132-9;NR-11;I4
111133-7;NR-11;I4
111134-5;NR-11;I4
111135-3;NR-11;I4
111136-1;NR-11;I4
111137-0;NR-11;I4
111138-8;NR-11;I4
111139-6;NR-11;I4
111140-0;NR-11;I4
111141-8;NR-11;I4
111142-6;NR-11;I4
114015-9;NR-14;I3
114016-7;NR-14;I4
114017-5;NR-14;I3
114018-3;NR-14;I4
114019-1;NR-14;I3
115001-4;NR-15;I1
115016-2;NR-15;I4
115020-0;NR-15;I4
115021-9;NR-15;I3
115024-3;NR-15;I3
115025-1;NR-15;I3
115028-6;NR-15;I3
115041-3;NR-15;I2
115052-9;NR-15;I4
115054-5;NR-15;I3
115055-3;NR-15;I4
115057-0;NR-15;I4
115058-8;NR-15;I4
115059-6;NR-15;I4
115060-0;NR-15;I3
115065-0;NR-15;I2
115066-9;NR-15;I1
115071-5;NR-15;I3
115072-3;NR-15;I3
115077-4;NR-15;I2
115078-2;NR-15;I3
115079-0;NR-15;I3
115080-4;NR-15;I4
115082-0;NR-15;I4
115083-9;NR-15;I4
115087-1;NR-15;I4
115088-0;NR-15;I4
115089-8;NR-15;I4
115090-1;NR-15;I4
115091-0;NR-15;I4
115092-8;NR-15;I4
115093-6;NR-15;I3
115095-2;NR-15;I4
115097-9;NR-15;I2
115098-7;NR-15;I3
115099-5;NR-15;I3
115110-0;NR-15;I3
115220-3;NR-15;I4
115221-1;NR-15;I4
115222-0;NR-15;I3
115223-8;NR-15;I4
115224-6;NR-15;I4
115225-4;NR-15;I4
115226-2;NR-15;I3
115227-0;NR-15;I2
115228-9;NR-15;I4
115229-7;NR-15;I3
115230-0;NR-15;I2
115231-9;NR-15;I3
115232-7;NR-15;I3
115233-5;NR-15;I2
115234-3;NR-15;I3
115236-0;NR-15;I4
115237-8;NR-15;I4
115238-6;NR-15;I4
115239-4;NR-15;I2
115240-8;NR-15;I4
116033-8;NR-16;I3
116034-6;NR-16;I3
117242-5;NR-17;I4
117243-3;NR-17;I2
117244-1;NR-17;I4
117245-0;NR-17;I2
117246-8;NR-17;I2
117247-6;NR-17;I2
117248-4;NR-17;I3
117249-2;NR-17;I3
117250-6;NR-17;I4
117251-4;NR-17;I4
117252-2;NR-17;I3
117253-0;NR-17;I2
117254-9;NR-17;I2
117255-7;NR-17;I3
117256-5;NR-17;I3
117257-3;NR-17;I2
117258-1;NR-17;I2
117259-0;NR-17;I4
117260-3;NR-17;I3
117261-1;NR-17;I3
117262-0;NR-17;I3
117263-8;NR-17;I2
117264-6;NR-17;I4
117265-4;NR-17;I3
117266-2;NR-17;I2
117267-0;NR-17;I2
117268-9;NR-17;I2
117269-7;NR-17;I3
117270-0;NR-17;I2
117271-9;NR-17;I2
117272-7;NR-17;I3
117273-5;NR-17;I4
117274-3;NR-17;I3
117275-1;NR-17;I4
117276-0;NR-17;I3
117277-8;NR-17;I2
117278-6;NR-17;I4
117279-4;NR-17;I3
117280-8;NR-17;I3
117281-6;NR-17;I3
117282-4;NR-17;I3
117283-2;NR-17;I2
117284-0;NR-17;I1
117285-9;NR-17;I3
117286-7;NR-17;I2
117287-5;NR-17;I3
117288-3;NR-17;I2
117289-1;NR-17;I2
117291-3;NR-17;I2
117292-1;NR-17;I2
117293-0;NR-17;I4
117294-8;NR-17;I4
117295-6;NR-17;I4
117296-4;NR-17;I4
117297-2;NR-17;I2
117298-0;NR-17;I2
117299-9;NR-17;I4
117300-6;NR-17;I2
117301-4;NR-17;I2
117302-2;NR-17;I2
117303-0;NR-17;I2
117304-9;NR-17;I2
117305-7;NR-17;I2
117306-5;NR-17;I3
117307-3;NR-17;I4
117308-1;NR-17;I3
117309-0;NR-17;I3
117310-3;NR-17;I2
117311-1;NR-17;I3
117312-0;NR-17;I1
117314-6;NR-17;I3
